Created with UCDetector 1.10.0	2015-09-10 17:23:57	http://www.ucdetector.org/	
com.adaptavant.distributedsource.service.SwitchBoardMessageService.<init>(SwitchBoardMessageService.java:17)	Change visibility of Class "SwitchBoardMessageService" to default - May cause compile errors!	SwitchBoardMessageService	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SwitchBoardMessageService.getContactFromMessage(SwitchBoardMessageService.java:21)	Change visibility of Method "SwitchBoardMessageService.getContactFromMessage(Map<String,Object>)" to default	SwitchBoardMessageService.getContactFromMessage(Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SwitchBoardMessageService.getHistoryFromMessage(SwitchBoardMessageService.java:142)	Change visibility of Method "SwitchBoardMessageService.getHistoryFromMessage(Map)" to default	SwitchBoardMessageService.getHistoryFromMessage(Map)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.MemberService.constructMember(MemberService.java:132)	Change visibility of Method "MemberService.constructMember(String,String,String,String,String,*)" to private	MemberService.constructMember(String,String,String,String,String,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.RegistrationService.generateDemoNumberForAnctLead(RegistrationService.java:38)	Change visibility of Method "RegistrationService.generateDemoNumberForAnctLead(String)" to default	RegistrationService.generateDemoNumberForAnctLead(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.RegistrationService.insertLeadRegDetails(RegistrationService.java:69)	Change visibility of Method "RegistrationService.insertLeadRegDetails(String,List<String>,Map<String,Object>)" to default	RegistrationService.insertLeadRegDetails(String,List<String>,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.RegistrationService.generateTestNumberTable(RegistrationService.java:146)	Method "RegistrationService.generateTestNumberTable()" has 0 references	RegistrationService.generateTestNumberTable()	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.service.RegistrationService.getRegistrationDetailsForContact(RegistrationService.java:214)	Change visibility of Method "RegistrationService.getRegistrationDetailsForContact(String,StringBuilder,String)" to default	RegistrationService.getRegistrationDetailsForContact(String,StringBuilder,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.RegistrationService.getRegistrationDetailsForContact(RegistrationService.java:236)	Change visibility of Method "RegistrationService.getRegistrationDetailsForContact(String,StringBuilder,List<String>)" to default	RegistrationService.getRegistrationDetailsForContact(String,StringBuilder,List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.RegistrationService.insertRegDetailsForImportedLeads(RegistrationService.java:255)	Change visibility of Method "RegistrationService.insertRegDetailsForImportedLeads(String,Map<String,Object>,Map<String,Object>)" to default	RegistrationService.insertRegDetailsForImportedLeads(String,Map<String,Object>,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.RegistrationService.assignDemoNoForLead_v1(RegistrationService.java:864)	Change visibility of Method "RegistrationService.assignDemoNoForLead_v1(String)" to private	RegistrationService.assignDemoNoForLead_v1(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.JobService.addAnswerConnectLeadRegistrationJob(JobService.java:87)	Change visibility of Method "JobService.addAnswerConnectLeadRegistrationJob(String,StringBuilder,String,String,*)" to default	JobService.addAnswerConnectLeadRegistrationJob(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.JobService.addUpdateCacheJob(JobService.java:129)	Change visibility of Method "JobService.addUpdateCacheJob(Map<String,Object>)" to default	JobService.addUpdateCacheJob(Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.JobService.addMessageHistoryJob(JobService.java:156)	Change visibility of Method "JobService.addMessageHistoryJob(Map<String,Object>,String)" to default	JobService.addMessageHistoryJob(Map<String,Object>,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.JobService.addFullSyncEventJob(JobService.java:215)	Change visibility of Method "JobService.addFullSyncEventJob(String,String,Object)" to default	JobService.addFullSyncEventJob(String,String,Object)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.TagService.createTagForContact(TagService.java:584)	Change visibility of Method "TagService.createTagForContact(String,String)" to default	TagService.createTagForContact(String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.TagService.checkForMainContactTag(TagService.java:609)	Change visibility of Method "TagService.checkForMainContactTag(List<Contact>)" to default	TagService.checkForMainContactTag(List<Contact>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.TagService.constructTagsForTagNames_v2(TagService.java:683)	Change visibility of Method "TagService.constructTagsForTagNames_v2(String,List<String>,String)" to private	TagService.constructTagsForTagNames_v2(String,List<String>,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.TagService.constructTagInfoObjects_v2(TagService.java:711)	Change visibility of Method "TagService.constructTagInfoObjects_v2(String,List<String>,String,String,*)" to private	TagService.constructTagInfoObjects_v2(String,List<String>,String,String,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactSkillSetService.constructSkillSetEntity(ContactSkillSetService.java:165)	Change visibility of Method "ContactSkillSetService.constructSkillSetEntity(Map<String,Object>)" to private	ContactSkillSetService.constructSkillSetEntity(Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactSkillSetService.createContactSkillSet_v1(ContactSkillSetService.java:298)	Change visibility of Method "ContactSkillSetService.createContactSkillSet_v1(String,Map<String,Object>)" to private	ContactSkillSetService.createContactSkillSet_v1(String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactSkillSetService.constructContactSkillSetObj_v1(ContactSkillSetService.java:549)	Change visibility of Method "ContactSkillSetService.constructContactSkillSetObj_v1(Map<String,Object>)" to private	ContactSkillSetService.constructContactSkillSetObj_v1(Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactSkillSetService.constructContactSkillSet_v1(ContactSkillSetService.java:712)	Change visibility of Method "ContactSkillSetService.constructContactSkillSet_v1(Map<String,Object>)" to default	ContactSkillSetService.constructContactSkillSet_v1(Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactSkillSetService.checkAndCreateContactSkillSet_v1(ContactSkillSetService.java:799)	Change visibility of Method "ContactSkillSetService.checkAndCreateContactSkillSet_v1(String,String,String)" to default	ContactSkillSetService.checkAndCreateContactSkillSet_v1(String,String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactSkillSetService.provideAccessToProduct_v1(ContactSkillSetService.java:816)	Change visibility of Method "ContactSkillSetService.provideAccessToProduct_v1(String,StringBuilder,String,String,*)" to default	ContactSkillSetService.provideAccessToProduct_v1(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactSkillSetService.getAccessForContactUnderProduct_v1(ContactSkillSetService.java:860)	Change visibility of Method "ContactSkillSetService.getAccessForContactUnderProduct_v1(String,StringBuilder,String,String)" to default	ContactSkillSetService.getAccessForContactUnderProduct_v1(String,StringBuilder,String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.DataStoreObjectService.<init>(DataStoreObjectService.java:24)	Change visibility of Class "DataStoreObjectService" to default - May cause compile errors!	DataStoreObjectService	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.DataStoreObjectService.set(DataStoreObjectService.java:27)	Change visibility of Method "DataStoreObjectService.set(String,Object)" to default	DataStoreObjectService.set(String,Object)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.DataStoreObjectService.set(DataStoreObjectService.java:103)	Change visibility of Method "DataStoreObjectService.set(Map<String,Object>)" to default	DataStoreObjectService.set(Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.DataStoreObjectService.get(DataStoreObjectService.java:189)	Change visibility of Method "DataStoreObjectService.get(String)" to default	DataStoreObjectService.get(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.DataStoreObjectService.get(DataStoreObjectService.java:260)	Method "DataStoreObjectService.get(List<String>)" has 0 references	DataStoreObjectService.get(List<String>)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.service.DataStoreObjectService.remove(DataStoreObjectService.java:339)	Change visibility of Method "DataStoreObjectService.remove(List<String>)" to default	DataStoreObjectService.remove(List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.GroupService_v2.constructGroupObj_v1(GroupService_v2.java:33)	Change visibility of Method "GroupService_v2.constructGroupObj_v1(String,String,Map<String,Object>)" to private	GroupService_v2.constructGroupObj_v1(String,String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.GroupService_v2.validateAndGetGroup(GroupService_v2.java:74)	Change visibility of Method "GroupService_v2.validateAndGetGroup(StringBuilder,String,String,String)" to private	GroupService_v2.validateAndGetGroup(StringBuilder,String,String,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.LeadService.removeContactFromItsLinkedContact(LeadService.java:1231)	Change visibility of Method "LeadService.removeContactFromItsLinkedContact(String,List<String>)" to private	LeadService.removeContactFromItsLinkedContact(String,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.LeadService.convertLeadToContact_v3(LeadService.java:1414)	Change visibility of Method "LeadService.convertLeadToContact_v3(String,StringBuilder,String,String,*,*,*)" to private	LeadService.convertLeadToContact_v3(String,StringBuilder,String,String,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.getTypeIDForContactMethod_v1(ContactService.java:65)	Change visibility of Method "ContactService.getTypeIDForContactMethod_v1(String)" to private	ContactService.getTypeIDForContactMethod_v1(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.getTypeForContactMethod_v1(ContactService.java:108)	Method "ContactService.getTypeForContactMethod_v1(String)" has 0 references	ContactService.getTypeForContactMethod_v1(String)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.service.ContactService.checkAndLinkOrDelinkContacts_v1(ContactService.java:151)	Change visibility of Method "ContactService.checkAndLinkOrDelinkContacts_v1(String,Contact,List<String>)" to private	ContactService.checkAndLinkOrDelinkContacts_v1(String,Contact,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.constructContactObjList_v1(ContactService.java:359)	Change visibility of Method "ContactService.constructContactObjList_v1(String,List<Map<String,Object>>)" to private	ContactService.constructContactObjList_v1(String,List<Map<String,Object>>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.checkForContactsToLinkInCreateList_v1(ContactService.java:522)	Change visibility of Method "ContactService.checkForContactsToLinkInCreateList_v1(String,List<Contact>,List<Map<String,Object>>)" to private	ContactService.checkForContactsToLinkInCreateList_v1(String,List<Contact>,List<Map<String,Object>>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.constructContactObj_v1(ContactService.java:583)	Change visibility of Method "ContactService.constructContactObj_v1(String,Map<String,Object>)" to default	ContactService.constructContactObj_v1(String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.constructContactMethodObj_v1(ContactService.java:745)	Change visibility of Method "ContactService.constructContactMethodObj_v1(String,String,List<Map<String,Object>>)" to private	ContactService.constructContactMethodObj_v1(String,String,List<Map<String,Object>>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.constructLocationObj_v1(ContactService.java:815)	Change visibility of Method "ContactService.constructLocationObj_v1(String,String,List<Map<String,Object>>)" to private	ContactService.constructLocationObj_v1(String,String,List<Map<String,Object>>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.getContactEntitiesByKey_v1(ContactService.java:885)	Change visibility of Method "ContactService.getContactEntitiesByKey_v1(List<String>)" to default	ContactService.getContactEntitiesByKey_v1(List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.linkCreatedContactToContact_v1(ContactService.java:913)	Change visibility of Method "ContactService.linkCreatedContactToContact_v1(String,String,List<String>)" to private	ContactService.linkCreatedContactToContact_v1(String,String,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.checkForContactsToLinkInCreate_v1(ContactService.java:940)	Change visibility of Method "ContactService.checkForContactsToLinkInCreate_v1(String,StringBuilder,String,String,*)" to default	ContactService.checkForContactsToLinkInCreate_v1(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.setReqFieldsForContactMethodUpdate_v1(ContactService.java:1296)	Change visibility of Method "ContactService.setReqFieldsForContactMethodUpdate_v1(String,String,List<ContactMethod>,*)" to private	ContactService.setReqFieldsForContactMethodUpdate_v1(String,String,List<ContactMethod>,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.setReqFieldsForLocationUpdate_v1(ContactService.java:1399)	Change visibility of Method "ContactService.setReqFieldsForLocationUpdate_v1(String,String,List<Location>,List<Map<String,Object>>)" to private	ContactService.setReqFieldsForLocationUpdate_v1(String,String,List<Location>,List<Map<String,Object>>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.setReqFieldsForContactUpdate_v1(ContactService.java:1513)	Change visibility of Method "ContactService.setReqFieldsForContactUpdate_v1(String,Contact,Map<String,Object>)" to default	ContactService.setReqFieldsForContactUpdate_v1(String,Contact,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.checkForContactsToLinkInUpdate_v1(ContactService.java:1682)	Change visibility of Method "ContactService.checkForContactsToLinkInUpdate_v1(String,StringBuilder,String,Contact,*)" to private	ContactService.checkForContactsToLinkInUpdate_v1(String,StringBuilder,String,Contact,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.removeContactFromItsHistoryAccountsAndDocuments_v1(ContactService.java:2009)	Change visibility of Method "ContactService.removeContactFromItsHistoryAccountsAndDocuments_v1(String,List<String>,List<String>,*,*,*,*)" to default	ContactService.removeContactFromItsHistoryAccountsAndDocuments_v1(String,List<String>,List<String>,*,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.addTaskQForRemovingContactFromDealAndTask(ContactService.java:2205)	Change visibility of Method "ContactService.addTaskQForRemovingContactFromDealAndTask(List<Long>,List<String>)" to private	ContactService.addTaskQForRemovingContactFromDealAndTask(List<Long>,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.removeDeletedContactMethodAndLocation(ContactService.java:2499)	Change visibility of Method "ContactService.removeDeletedContactMethodAndLocation(Contact)" to default	ContactService.removeDeletedContactMethodAndLocation(Contact)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.removeDeletedContactMethodAndLocation(ContactService.java:2541)	Change visibility of Method "ContactService.removeDeletedContactMethodAndLocation(List<Contact>)" to default	ContactService.removeDeletedContactMethodAndLocation(List<Contact>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.getLinkedContactObj_v1(ContactService.java:2632)	Change visibility of Method "ContactService.getLinkedContactObj_v1(String,Contact)" to private	ContactService.getLinkedContactObj_v1(String,Contact)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.setCompanyNameToContacts(ContactService.java:2669)	Change visibility of Method "ContactService.setCompanyNameToContacts(List<Contact>,List<Contact>)" to default	ContactService.setCompanyNameToContacts(List<Contact>,List<Contact>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.getContactListForSearchingSimilarContacts(ContactService.java:2838)	Change visibility of Method "ContactService.getContactListForSearchingSimilarContacts(String,List<Map<String,Object>>)" to default	ContactService.getContactListForSearchingSimilarContacts(String,List<Map<String,Object>>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.getContactMethodListForSearchingSimilarContacts(ContactService.java:2989)	Change visibility of Method "ContactService.getContactMethodListForSearchingSimilarContacts(String,Map<String,Object>)" to private	ContactService.getContactMethodListForSearchingSimilarContacts(String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.checkForContactsToLinkInUpsert_v1(ContactService.java:3834)	Change visibility of Method "ContactService.checkForContactsToLinkInUpsert_v1(String,StringBuilder,String,Contact,*)" to private	ContactService.checkForContactsToLinkInUpsert_v1(String,StringBuilder,String,Contact,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.upsertContactInfo_v1(ContactService.java:3922)	Change visibility of Method "ContactService.upsertContactInfo_v1(String,StringBuilder,String,String,*)" to default	ContactService.upsertContactInfo_v1(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.deleteSelectedContacts(ContactService.java:4426)	Change visibility of Method "ContactService.deleteSelectedContacts(List<String>)" to default	ContactService.deleteSelectedContacts(List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.restoreSelectedContacts(ContactService.java:4457)	Change visibility of Method "ContactService.restoreSelectedContacts(String,List<String>)" to default	ContactService.restoreSelectedContacts(String,List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.getCustomFieldsMapForContacts(ContactService.java:4488)	Change visibility of Method "ContactService.getCustomFieldsMapForContacts(List<Contact>)" to default	ContactService.getCustomFieldsMapForContacts(List<Contact>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.constructReqFieldsFromContactMethodObj(ContactService.java:4512)	Change visibility of Method "ContactService.constructReqFieldsFromContactMethodObj(List<ContactMethod>,String)" to private	ContactService.constructReqFieldsFromContactMethodObj(List<ContactMethod>,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.constructReqFieldsFromLocationObj(ContactService.java:4544)	Change visibility of Method "ContactService.constructReqFieldsFromLocationObj(List<Location>)" to private	ContactService.constructReqFieldsFromLocationObj(List<Location>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.getNameForAContact(ContactService.java:4570)	Change visibility of Method "ContactService.getNameForAContact(String,String)" to private	ContactService.getNameForAContact(String,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.ContactService.constructReqFieldsForContact(ContactService.java:4584)	Change visibility of Method "ContactService.constructReqFieldsForContact(Contact)" to default	ContactService.constructReqFieldsForContact(Contact)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.getContactRelatedInfoForDS_v1(ContactService.java:4706)	Change visibility of Method "ContactService.getContactRelatedInfoForDS_v1(String,StringBuilder,Map<String,Object>)" to default	ContactService.getContactRelatedInfoForDS_v1(String,StringBuilder,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.checkIfLoginAlreadyExist_v1(ContactService.java:4813)	Change visibility of Method "ContactService.checkIfLoginAlreadyExist_v1(String,StringBuilder,String,String)" to default	ContactService.checkIfLoginAlreadyExist_v1(String,StringBuilder,String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.linkContactToAccount_v1(ContactService.java:4928)	Change visibility of Method "ContactService.linkContactToAccount_v1(String,StringBuilder,String,List<Contact>)" to default	ContactService.linkContactToAccount_v1(String,StringBuilder,String,List<Contact>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.ContactService.checkAndCreateDefaultContactMethodForUsers_v1(ContactService.java:4964)	Method "ContactService.checkAndCreateDefaultContactMethodForUsers_v1(String,StringBuilder,StringBuilder,*)" has 0 references	ContactService.checkAndCreateDefaultContactMethodForUsers_v1(String,StringBuilder,StringBuilder,*)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.service.MemberService_v1.constructMember(MemberService_v1.java:227)	Change visibility of Method "MemberService_v1.constructMember(String,String,String,String,String,*)" to private	MemberService_v1.constructMember(String,String,String,String,String,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.MemberService_v1.deleteMembers(MemberService_v1.java:359)	Change visibility of Method "MemberService_v1.deleteMembers(String,StringBuilder,List<String>)" to default	MemberService_v1.deleteMembers(String,StringBuilder,List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.MemberService_v1.getMemberEntitiesByKey_v1(MemberService_v1.java:379)	Change visibility of Method "MemberService_v1.getMemberEntitiesByKey_v1(List<String>)" to private	MemberService_v1.getMemberEntitiesByKey_v1(List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.HistoryService.insertHistory_v1(HistoryService.java:36)	Change visibility of Method "HistoryService.insertHistory_v1(String,StringBuilder,String,String)" to default	HistoryService.insertHistory_v1(String,StringBuilder,String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.HistoryService.constructHistoryObj_v1(HistoryService.java:176)	Change visibility of Method "HistoryService.constructHistoryObj_v1(String,Map<String,Object>)" to private	HistoryService.constructHistoryObj_v1(String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.HistoryService.insertHistoryForNewContact_v1(HistoryService.java:493)	Change visibility of Method "HistoryService.insertHistoryForNewContact_v1(String,StringBuilder,String,String)" to default	HistoryService.insertHistoryForNewContact_v1(String,StringBuilder,String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.HistoryService.updateHistoryForAccount(HistoryService.java:538)	Change visibility of Method "HistoryService.updateHistoryForAccount(String,String,List<String>)" to default	HistoryService.updateHistoryForAccount(String,String,List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.HistoryService.<init>(HistoryService.java:563)	Member class "HistoryService.CreatedDateDesc" has 0 references	HistoryService.CreatedDateDesc	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.service.HistoryService.constructBulkHistoryObj_v1(HistoryService.java:619)	Change visibility of Method "HistoryService.constructBulkHistoryObj_v1(String,List<Map<String,Object>>)" to default	HistoryService.constructBulkHistoryObj_v1(String,List<Map<String,Object>>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.HistoryService.addHistoryOfDealToAccount(HistoryService.java:1189)	Change visibility of Method "HistoryService.addHistoryOfDealToAccount(Long,String,Map<Key,Entity>)" to default	HistoryService.addHistoryOfDealToAccount(Long,String,Map<Key,Entity>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.DistributedSourceService.isContactPasswordNull_v1(DistributedSourceService.java:145)	Change visibility of Method "DistributedSourceService.isContactPasswordNull_v1(String,StringBuilder,String,String)" to private	DistributedSourceService.isContactPasswordNull_v1(String,StringBuilder,String,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.deleteAllPeopleAndCompaniesForContactCursor(DistributedSourceService.java:330)	Change visibility of Method "DistributedSourceService.deleteAllPeopleAndCompaniesForContactCursor(String,StringBuilder,String,String,*,*,*)" to private	DistributedSourceService.deleteAllPeopleAndCompaniesForContactCursor(String,StringBuilder,String,String,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.getContactByEmail(DistributedSourceService.java:592)	Change visibility of Method "DistributedSourceService.getContactByEmail(String,StringBuilder,String)" to private	DistributedSourceService.getContactByEmail(String,StringBuilder,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.selectivelyDeleteContactsAndDissociateLinkedEntities_v1(DistributedSourceService.java:698)	Change visibility of Method "DistributedSourceService.selectivelyDeleteContactsAndDissociateLinkedEntities_v1(String,StringBuilder,String,List<String>)" to private	DistributedSourceService.selectivelyDeleteContactsAndDissociateLinkedEntities_v1(String,StringBuilder,String,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.dissociateAccountsHistoryAndDocumentsForMultipleDeletedContacts(DistributedSourceService.java:1371)	Change visibility of Method "DistributedSourceService.dissociateAccountsHistoryAndDocumentsForMultipleDeletedContacts(String,StringBuilder,List<String>,*,*,*)" to private	DistributedSourceService.dissociateAccountsHistoryAndDocumentsForMultipleDeletedContacts(String,StringBuilder,List<String>,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.changeAccountIDForContacts(DistributedSourceService.java:1924)	Change visibility of Method "DistributedSourceService.changeAccountIDForContacts(String,StringBuilder,String,String,*)" to private	DistributedSourceService.changeAccountIDForContacts(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.changeAccountIDForHistory(DistributedSourceService.java:1987)	Change visibility of Method "DistributedSourceService.changeAccountIDForHistory(String,List<String>)" to private	DistributedSourceService.changeAccountIDForHistory(String,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.changeAccountIDForTask(DistributedSourceService.java:2004)	Change visibility of Method "DistributedSourceService.changeAccountIDForTask(String,List<String>)" to private	DistributedSourceService.changeAccountIDForTask(String,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.changeAccountIDForDeal(DistributedSourceService.java:2027)	Change visibility of Method "DistributedSourceService.changeAccountIDForDeal(String,StringBuilder,String,String,*)" to private	DistributedSourceService.changeAccountIDForDeal(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.moveLeadRelatedInfoToDiffAccount(DistributedSourceService.java:2083)	Change visibility of Method "DistributedSourceService.moveLeadRelatedInfoToDiffAccount(String,StringBuilder,String,Contact,*,*,*)" to private	DistributedSourceService.moveLeadRelatedInfoToDiffAccount(String,StringBuilder,String,Contact,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
