Created with UCDetector 1.10.0	2015-09-11 20:13:13	http://www.ucdetector.org/	
com.adaptavant.distributedsource.dao.CustomFieldDAO.constructFieldInfoObj(CustomFieldDAO.java:398)	Change visibility of Method "CustomFieldDAO.constructFieldInfoObj(Entity)" to private	CustomFieldDAO.constructFieldInfoObj(Entity)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.dao.CustomFieldDAO.constructCustomFieldObj(CustomFieldDAO.java:429)	Change visibility of Method "CustomFieldDAO.constructCustomFieldObj(Entity)" to private	CustomFieldDAO.constructCustomFieldObj(Entity)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.dao.MemberDAO_v1.updateTimestamp(MemberDAO_v1.java:219)	Method "MemberDAO_v1.updateTimestamp(PutContext)" has 0 references	MemberDAO_v1.updateTimestamp(PutContext)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.constructListOfSortingForFields(DataStoreUtil.java:64)	Method "DataStoreUtil.constructListOfSortingForFields(List<Map<String,Object>>,String,*)" has 0 references	DataStoreUtil.constructListOfSortingForFields(List<Map<String,Object>>,String,*)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getEntitiesWithoutApplyingFetchOptions(DataStoreUtil.java:84)	Method "DataStoreUtil.getEntitiesWithoutApplyingFetchOptions(String,List<Map<String,Object>>,*)" has 0 references	DataStoreUtil.getEntitiesWithoutApplyingFetchOptions(String,List<Map<String,Object>>,*)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getEntitiesWithDefaultFetchOptions(DataStoreUtil.java:121)	Method "DataStoreUtil.getEntitiesWithDefaultFetchOptions(String,List<Map<String,Object>>,*)" has 0 references	DataStoreUtil.getEntitiesWithDefaultFetchOptions(String,List<Map<String,Object>>,*)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getEntitiesUsingQueryCursor(DataStoreUtil.java:201)	Method "DataStoreUtil.getEntitiesUsingQueryCursor(String,int,int,String,List<Map<String,Object>>,*)" has 0 references	DataStoreUtil.getEntitiesUsingQueryCursor(String,int,int,String,List<Map<String,Object>>,*)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getEntityKeysWithChunkSize(DataStoreUtil.java:255)	Method "DataStoreUtil.getEntityKeysWithChunkSize(String,String,int,List<Map<String,Object>>,*)" has 0 references	DataStoreUtil.getEntityKeysWithChunkSize(String,String,int,List<Map<String,Object>>,*)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getEntityKeysUsingQueryCursor(DataStoreUtil.java:313)	Method "DataStoreUtil.getEntityKeysUsingQueryCursor(String,String,int,int,String,List<Map<String,Object>>,*)" has 0 references	DataStoreUtil.getEntityKeysUsingQueryCursor(String,String,int,int,String,List<Map<String,Object>>,*)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getEntityUsingKindAndID(DataStoreUtil.java:397)	Method "DataStoreUtil.getEntityUsingKindAndID(String,String)" has 0 references	DataStoreUtil.getEntityUsingKindAndID(String,String)	org.ucdetector.analyzeMarkerReference	
